seg_id,pci,pci_desc
SS-000527-PV1,72.11,Satisfactory
SS-000528-PV1,67.33,Fair
SS-000529-PV1,83.07,Satisfactory
SS-000530-PV1,61.86,Fair
SS-000531-PV1,64,Fair
SS-000532-PV1,77.45,Satisfactory
SS-000533-PV1,75.4,Satisfactory
SS-000534-PV1,,
SS-000535-PV1,45.94,Poor
SS-000536-PV1,44.27,Poor
SS-000537-PV1,66.17,Fair
SS-000538-PV1,97.2,Good
SS-000539-PV1,86.44,Good
SS-000540-PV1,78.92,Satisfactory
SS-000541-PV1,90.04,Good
SS-000542-PV1,48.81,Poor
SS-000543-PV1,55.48,Fair
SS-000544-PV1,90,Good
SS-000545-PV1,85.31,Good
SS-000546-PV1,80.34,Satisfactory
SS-000547-PV1,94.38,Good
SS-000548-PV1,36.06,Very Poor
SS-000549-PV1,41.05,Poor
SS-000550-PV1,16.01,Serious
SS-000551-PV1,40.45,Poor
SS-000552-PV1,38.06,Very Poor
SS-000553-PV1,70.74,Satisfactory
SS-000554-PV1,59.99,Fair
SS-000555-PV1,60,Fair
SS-000556-PV1,64.84,Fair
SS-000557-PV1,82.7,Satisfactory
SS-000558-PV1,58.97,Fair
SS-000559-PV1,61.48,Fair
SS-000560-PV1,57.28,Fair
SS-000561-PV1,56,Fair
SS-000562-PV1,76.21,Satisfactory
SS-000563-PV1,59.68,Fair
SS-000564-PV1,65.81,Fair
SS-000565-PV1,56.16,Fair
SS-000566-PV1,72.3,Satisfactory
SS-000567-PV1,67.69,Fair
SS-000568-PV1,30.68,Very Poor
SS-000569-PV1,76.76,Satisfactory
SS-000570-PV1,54.6,Poor
SS-000571-PV1,54,Poor
SS-000572-PV1,54,Poor
SS-000573-PV1,50.07,Poor
SS-000574-PV1,48.57,Poor
SS-000575-PV1,74,Satisfactory
SS-000576-PV1,61.62,Fair
SS-000577-PV1,50.62,Poor
SS-000579-PV1,95,Good
SS-000580-PV1,61.39,Fair
SS-000581-PV1,62,Fair
SS-000582-PV1,68.35,Fair
SS-000583-PV1,61.66,Fair
SS-000589-PV1,94.39,Good
