iamfloc,total_crashes,injured,killed,avg_pci,pav_length,traffic_count,crashes_per_mile,cluster_id,gi_star,is_hotspot,is_coldspot
SS-029700-PV1,0.0,0.0,0.0,71.55164547458337,922.1024,,0.0,,-0.23905949139962268,False,False
SS-029701-PV1,0.0,0.0,0.0,77.29867416313265,760.7544,,0.0,,-0.2547341772271104,False,False
SS-029702-PV1,5.0,3.0,0.0,64.22347932069641,558.1479,,47.2992911018746,0.0,-0.19203543391715971,False,False
SS-029703-PV1,5.0,1.0,0.0,92.39854750156722,1131.3862,,23.334207187607557,0.0,-0.27040886305459805,False,False
SS-029704-PV1,14.0,8.0,0.0,45.38253760886778,930.1454,,79.4714460771402,0.0,-0.0196138898147953,False,False
SS-029706-PV1,0.0,0.0,0.0,100.0,158.4147,,0.0,,0.5133254283197856,False,False
SS-029709-PV1,3.0,2.0,0.0,43.07178741092636,277.0019,,57.18372328854063,,0.21550639759751966,False,False
SS-029710-PV1,4.0,6.0,0.0,36.123972684085516,273.0074,,77.36054041025994,,0.2155063975975198,False,False
SS-029711-PV1,3.0,2.0,0.0,57.57749132311616,266.0017,,59.548491607384456,,0.576024171629736,False,False
SS-029712-PV1,7.0,5.0,0.0,89.55113618368962,273.0001,,135.38456579319936,0.0,0.6230482291121991,False,False
SS-029715-PV1,0.0,0.0,0.0,68.98242715774637,260.0,,0.0,,-0.30175823470957336,False,False
SS-029716-PV1,0.0,0.0,0.0,88.51595283101055,253.0,,0.0,,-0.27040886305459805,False,False
SS-029721-PV1,2.0,0.0,0.0,63.40219784013263,259.0,,40.772200772200776,,0.1214582826325937,False,False
SS-029723-PV1,2.0,1.0,0.0,77.81179538146905,475.2456,,22.220089991364464,,-0.2860835488820857,False,False
SS-029724-PV1,0.0,0.0,0.0,90.676893572664,198.35382154,,0.0,,-0.30175823470957336,False,False
SS-029725-PV1,0.0,0.0,0.0,87.07441437936129,154.0512,,0.0,,-0.2860835488820857,False,False
SS-029727-PV1,4.0,3.0,0.0,42.63588479809977,640.0,,33.0,,0.4192773133548593,False,False
SS-029728-PV1,3.0,1.0,0.0,58.456165874901025,571.0152,,27.74006716458686,,0.4192773133548593,False,False
SS-029729-PV1,5.0,4.0,0.0,62.91274940617578,274.0,,96.35036496350365,0.0,0.4036026275273717,False,False
SS-029730-PV1,3.0,2.0,0.0,71.71299287410926,270.0,,58.666666666666664,,0.34090388421742096,False,False
SS-029731-PV1,4.0,3.0,0.0,69.38583333333332,279.0,,75.6989247311828,,0.2311810834250073,False,False
SS-029732-PV1,5.0,4.0,0.0,79.9847011084719,274.0,,96.35036496350365,0.0,0.30955451256244576,False,False
SS-029733-PV1,5.0,1.0,0.0,72.25097783056215,262.0,,100.76335877862596,0.0,0.5446747999747608,False,False
SS-029734-PV1,9.0,6.0,0.0,79.24463182897861,275.0,,172.79999999999998,0.0,0.7484457157321004,False,False
SS-029736-PV1,1.0,0.0,0.0,94.49955859065716,273.0074,,19.340135102564986,,0.41927731335485946,False,False
SS-029737-PV1,2.0,1.0,0.0,94.08722486144103,275.0071,,38.39900860741414,,0.4036026275273718,False,False
SS-029739-PV1,1.0,0.0,0.0,95.5295442888631,269.0072,,19.627727436291664,,0.9522166314894404,False,False
SS-029742-PV1,7.0,2.0,0.0,72.69101319357304,571.0039,,64.72810430891978,0.0,0.4192773133548593,False,False
SS-029745-PV1,6.0,2.0,0.0,95.99858890528614,274.0074,,115.61731544476535,0.0,0.3879279416998841,False,False
SS-029747-PV1,3.0,1.0,0.0,94.19231084903781,279.0019,,56.7738069167271,,0.23118108342500743,False,False
SS-029748-PV1,1.0,2.0,0.0,96.80407884670032,271.002,,19.48325104611774,,0.3565785700449087,False,False
SS-029749-PV1,6.0,4.0,0.0,97.11926726628818,260.0017,,121.84535716497236,0.0,0.41927731335485946,False,False
SS-029750-PV1,6.0,7.0,0.0,72.2263664980195,278.0019,,113.95605569602223,0.0,1.4067825204865827,False,False
SS-029752-PV1,13.0,14.0,0.0,49.270918448139355,594.0137,,115.55289044680283,0.0,0.5760241716297362,False,False
SS-029756-PV1,13.0,10.0,0.0,62.26803642121932,271.0075,,253.27712332684519,0.0,0.4349519991823469,False,False
SS-029757-PV1,10.0,4.0,0.0,62.520977830562146,271.0075,,194.82855640526554,0.0,0.6700722865946621,False,False
SS-029758-PV1,8.0,4.0,0.0,59.363194774346795,275.0071,,153.59603442965656,0.0,0.6857469724221497,False,False
SS-029759-PV1,9.0,10.0,0.0,59.817901821060964,274.0293,,173.4121132302276,0.0,0.46630137083732226,False,False
SS-029761-PV1,3.0,0.0,0.0,77.67262041916173,349.0057,,45.38607822164509,,-0.1450113764346967,False,False
SS-029764-PV1,0.0,0.0,0.0,85.11296912114014,188.5429,,0.0,,-0.2077101197446474,False,False
SS-029766-PV1,0.0,0.0,0.0,46.665172209026125,278.0019,,0.0,,-0.23905949139962268,False,False
SS-029767-PV1,0.0,0.0,0.0,31.73095209817894,263.8853,,0.0,,-0.2860835488820857,False,False
SS-029768-PV1,0.0,0.0,0.0,40.29539588281869,286.1408,,0.0,,-0.2860835488820857,False,False
SS-029770-PV1,0.0,0.0,0.0,74.30506435475225,344.0058,,0.0,,-0.11366200477972133,False,False
SS-029776-PV1,0.0,0.0,0.0,61.582329770387965,718.4602,,0.0,,-0.2860835488820857,False,False
SS-029777-PV1,0.0,0.0,0.0,51.669604117181315,1074.8861,,0.0,,-0.19203543391715971,False,False
SS-029778-PV1,0.0,0.0,0.0,71.48398653998417,615.2248,,0.0,,0.6857469724221499,False,False
SS-029779-PV1,2.0,3.0,0.0,50.0495190023753,233.4292,,45.23855627316548,,0.3565785700449087,False,False
SS-029780-PV1,9.0,5.0,0.0,54.136328186856694,2669.9257,,17.798248093570546,1.0,0.23118108342500743,False,False
SS-029782-PV1,9.0,4.0,0.0,67.75765835312748,573.0088,2786.0,82.93066354303808,0.0,0.46630137083732254,False,False
SS-029784-PV1,2.0,2.0,0.0,95.04188638163104,272.002,,38.82324394673569,,0.5133254283197856,False,False
SS-029786-PV1,5.0,4.0,0.0,86.11255836228639,277.0019,,95.30620548090104,0.0,0.12145828263259377,False,False
SS-029787-PV1,2.0,1.0,0.0,90.14177428894746,269.002,,39.256213708448264,,0.2625304550799828,False,False
